Study,Original_Claim,Linguistic_Markers,Sample_Design,B_value,E_value,K_value,Outcome,Outcome_Binary,Notes
"Anchoring (Tversky & Kahneman, 1974)","Initial numerical values systematically influence subsequent judgments of uncertain quantities","systematically influence (strong causal claim)","Lab experiments, N=varied, between-subjects",0.85,0.70,0.85,"Confirmed - Many Labs 1 found d>1.0 across 36 sites, one of most robust effects",1,"Effect size remained very large in replications"
"Availability Heuristic (Tversky & Kahneman, 1973)","Events that are easier to recall are judged as more frequent","are judged (definitive claim)","Lab experiments, N=~100s, within/between subjects",0.85,0.70,0.85,"Confirmed - Many Labs 3 replicated but with smaller effect (d=0.09 vs d=0.82)",1,"Replication effect much smaller than original"
"Gain/Loss Framing (Tversky & Kahneman, 1981)","People are risk-averse for gains and risk-seeking for losses","are (definitive claim about behavioral tendency)","Lab experiments, N=152 in original, hypothetical choices",0.85,0.70,0.85,"Confirmed - Many Labs 1 showed consistent effect across sites (p=0.37 for heterogeneity)",1,"Low heterogeneity across replication sites"
"Stroop Effect (Stroop, 1935)","Color word interference significantly delays color naming responses","significantly delays (strong effect claim)","Lab experiments, N=varied, within-subjects, very controlled",0.90,0.85,0.95,"Confirmed - Many Labs 3 found very large effect (d=2.04), serves as validity check",1,"One of most robust effects in psychology"
"Serial Position Effects (Murdock, 1962)","Items at beginning (primacy) and end (recency) of lists are recalled better than middle items","are recalled better (definitive comparative claim)","Lab experiments, N=varied, within-subjects, free recall paradigm",0.85,0.80,0.95,"Confirmed - Highly replicable across decades, basic memory phenomenon",1,"Fundamental finding with clear neural correlates"
"Semantic Priming (Meyer & Schvaneveldt, 1971)","Semantically related primes facilitate lexical decision responses","facilitate (causal claim)","Lab experiments, N=varied, lexical decision task, within-subjects",0.85,0.75,0.90,"Confirmed - One of most robust findings in cognitive psychology, replicated hundreds of times",1,"Considered foundational effect in word recognition"
"Facial Feedback - Partial (Strack et al., 1988)","Facial expressions can influence affective responses","can influence (moderate modal verb)","Lab experiments, N=92 original, pen-in-mouth paradigm",0.60,0.65,0.95,"Partial - RRR with 17 labs (N=4,493) found d=0.03 (CI: -0.11 to 0.16), failed to replicate",0.5,"Failed in pen-in-mouth paradigm, but broader hypothesis may hold under different conditions"
"Flag Priming & Conservatism (Carter et al., 2011)","A single exposure to American flag shifts support toward Republican beliefs","shifts support toward (definitive causal claim)","Online study during 2008 election, N=varied, claimed 8-month duration",0.85,0.55,0.70,"Partial/Failed - Many Labs 1 did not replicate; authors later found time-varying effect",0.5,"Original authors acknowledged effect declined to zero over time"
"Ego Depletion (Baumeister et al., 1998)","Sequential self-control tasks deplete a limited resource, impairing subsequent performance","deplete (definitive mechanism claim)","Lab experiments, N=varied, sequential task paradigm",0.85,0.60,0.75,"Failed - Multi-lab RRR (N=2,141) found d=0.04 (CI: -0.07 to 0.14); meta-analyses show publication bias",0,"Multiple large replications found null effects"
"Power Posing (Carney et al., 2010)","Adopting expansive postures causes increases in testosterone, decreases in cortisol, and increased feelings of power","causes increases (strong causal + physiological claims)","Lab experiment, N=42, between-subjects, hormone measures",0.90,0.50,0.60,"Failed - Multiple replications failed to find hormonal effects; lead author Carney disavowed (2016)",0,"Original effect likely due to small N, selective reporting"
"Facial Feedback - Strack (Strack et al., 1988)","Holding pen in teeth (smile) increases perceived humor compared to lips (pout)","increases perceived (definitive comparative claim)","Lab experiment, N=92, between-subjects, pen-in-mouth",0.85,0.60,0.75,"Failed - RRR with 17 labs (N=4,493) found d=0.03, none of 17 studies showed effect",0,"Possible moderator: camera presence in replications"
"Professor Priming (Dijksterhuis & van Knippenberg, 1998)","Priming professor stereotype improves general knowledge performance compared to hooligan prime","improves performance (definitive causal claim)","Lab experiment, N=varied, stereotype priming + trivia",0.85,0.55,0.70,"Failed - RRR with 40 labs (N=4,493) found 0.14% difference, no moderation by gender",0,"Original 13% advantage not replicated"
"Elderly Priming (Bargh et al., 1996)","Exposure to elderly-related words causes participants to walk more slowly","causes participants to walk (definitive causal claim)","Lab experiment, N=30, priming + walking speed measurement",0.90,0.45,0.55,"Failed - Doyen et al. (2012) with objective laser timing found d~0, discovered experimenter expectancy effects",0,"Doyen showed effect reversed based on experimenter expectations"
"Money Priming (Vohs et al., 2006)","Reminders of money increase self-sufficient behavior and decrease helping","increase/decrease (definitive bidirectional causal claims)","Lab experiments, N=varied across studies, multiple DVs",0.85,0.50,0.65,"Failed - Rohrer et al. (2015) found zero evidence across 4 large experiments; meta-analyses show selection bias",0,"Meta-analytic tools indicate p-hacking and publication bias"
"Cleanliness & Morality (Zhong & Liljenquist, 2006)","Threats to moral purity increase desire for physical cleansing products","increase desire (definitive causal claim)","Lab experiments, N=varied, moral threat + cleansing product ratings",0.85,0.55,0.70,"Failed - Earp et al. (2014) failed 3 direct replications; meta-analysis of 15 studies found g=0.07 in independent labs",0,"Macbeth Effect meta-analysis shows publication bias"
"Macbeth Effect (Zhong & Liljenquist, 2006)","Recalling unethical behavior increases desire to cleanse oneself","increases desire (definitive causal claim, metaphorical link)","Lab experiments, N=varied, recall task + hand-washing opportunity",0.85,0.55,0.70,"Failed - Multiple replication failures; meta-analysis found weighted g=0.17 overall, g=0.07 in independent labs",0,"Effect appears to be publication bias artifact"
